"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"temp2",926006,2,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",927454,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",929465,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",933135,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",933172,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",901324,1,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",901441,1,1,2,1,1,3,NA,NA,NA,NA
"temp2",905117,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",905367,2,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",907126,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",911486,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",912495,1,2,3,2,NA,NA,NA,NA,NA,NA
"temp2",900181,1,2,2,1,3,NA,NA,NA,NA,NA
"temp2",911368,1,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",915478,1,2,2,1,1,1,3,NA,NA,NA
"temp2",915982,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",919429,2,2,1,1,3,NA,NA,NA,NA,NA
"temp2",922616,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",922630,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",922785,1,2,3,3,NA,NA,NA,NA,NA,NA
"temp2",923356,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",924955,2,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",925843,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",900404,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",926988,2,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",927589,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",930841,2,2,1,1,3,NA,NA,NA,NA,NA
"temp2",900854,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",904106,1,3,3,NA,NA,NA,NA,NA,NA,NA
"temp2",904426,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",908211,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",908298,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",908604,2,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",911288,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",900764,2,2,1,1,1,3,NA,NA,NA,NA
"temp2",920353,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",920372,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",921938,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",927781,1,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",927918,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",931375,1,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",933935,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",901670,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",902538,1,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",903841,2,2,2,1,3,NA,NA,NA,NA,NA
"temp2",904102,1,1,1,1,1,1,3,NA,NA,NA
"temp2",918357,1,2,2,1,3,NA,NA,NA,NA,NA
"temp2",918667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919060,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",920281,2,2,1,1,3,NA,NA,NA,NA,NA
"temp2",901317,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",906532,1,2,1,1,1,3,NA,NA,NA,NA
"temp2",910342,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",912724,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",913594,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",913914,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",914177,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",915241,2,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",915791,1,2,2,1,1,1,3,NA,NA,NA
"temp2",917296,2,1,1,1,1,3,NA,NA,NA,NA
"temp2",924352,1,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",901373,2,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",926826,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",927542,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",927624,1,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",930797,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",902222,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",903206,2,1,1,1,3,NA,NA,NA,NA,NA
"temp2",903639,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",904157,1,2,2,1,3,NA,NA,NA,NA,NA
"temp2",904783,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",905501,1,2,2,1,1,3,NA,NA,NA,NA
"temp2",906241,2,1,1,1,1,3,NA,NA,NA,NA
"temp2",901285,1,1,2,1,3,NA,NA,NA,NA,NA
"temp2",912602,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",912636,2,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",913124,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",913365,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",914033,1,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",914647,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",915657,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",919010,1,2,2,1,1,3,NA,NA,NA,NA
"temp2",919873,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",921640,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",902152,2,2,2,1,1,3,NA,NA,NA,NA
"temp2",926369,1,2,2,1,1,3,NA,NA,NA,NA
"temp2",927152,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",929217,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",929539,2,1,1,1,1,3,NA,NA,NA,NA
"temp2",930817,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",904725,2,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",904989,1,2,2,1,3,NA,NA,NA,NA,NA
"temp2",905306,1,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",907738,1,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",908617,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",911533,1,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",912086,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",900572,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",912878,1,2,1,1,1,1,3,NA,NA,NA
"temp2",915177,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",919479,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",924721,2,2,2,1,1,3,NA,NA,NA,NA
"temp2",924800,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",927184,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",931280,2,2,2,1,1,1,3,NA,NA,NA
"temp2",933390,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",933600,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",933806,1,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",900614,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",900842,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",903706,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",904053,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",904367,1,1,2,1,1,1,3,NA,NA,NA
"temp2",907533,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",910447,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",910544,2,1,1,3,NA,NA,NA,NA,NA,NA
"temp2",903157,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",918078,1,1,1,1,1,1,3,NA,NA,NA
"temp2",921250,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",921835,1,1,3,3,NA,NA,NA,NA,NA,NA
"temp2",923348,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",924990,2,1,2,1,1,1,3,NA,NA,NA
"temp2",929947,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",933807,2,1,2,3,NA,NA,NA,NA,NA,NA
"temp2",904922,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",906749,1,1,2,1,1,1,3,NA,NA,NA
"temp2",908753,1,2,3,NA,NA,NA,NA,NA,NA,NA
"temp2",912631,2,2,1,1,3,NA,NA,NA,NA,NA
"temp2",914779,1,1,1,1,1,3,NA,NA,NA,NA
"temp2",917485,1,1,1,1,3,NA,NA,NA,NA,NA
"temp2",917770,1,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",917831,2,1,3,NA,NA,NA,NA,NA,NA,NA
"temp2",901227,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"temp2",902979,1,2,2,3,NA,NA,NA,NA,NA,NA
"temp2",904696,2,2,1,3,NA,NA,NA,NA,NA,NA
"temp2",927163,1,2,3,NA,NA,NA,NA,NA,NA,NA
